DISTRICT_NAME,Year,Crop_Type,AREA,PRODUCTION,YIELD
Achham,1979,BARLEY,550,500.0,909.0
Achham,1980,BARLEY,500,400.0,800.0
Achham,1981,BARLEY,500,420.0,840.0
Achham,1982,BARLEY,500,400.0,800.0
Achham,1983,BARLEY,500,400.0,800.0
Achham,1984,BARLEY,820,650.0,793.0
Achham,1985,BARLEY,900,720.0,800.0
Achham,1986,BARLEY,680,550.0,809.0
Achham,1987,BARLEY,700,570.0,814.0
Achham,1988,BARLEY,720,570.0,792.0
Achham,1990,BARLEY,700,660.0,943.0
Achham,1991,BARLEY,710,650.0,915.0
Achham,1992,BARLEY,510,670.0,1314.0
Achham,1993,BARLEY,520,474.0,912.0
Achham,1994,BARLEY,520,484.0,931.0
Achham,1995,BARLEY,355,484.0,1363.0
Achham,1996,BARLEY,253,350.0,1383.0
Achham,1997,BARLEY,154,280.0,1818.0
Achham,1998,BARLEY,690,160.0,232.0
Achham,1999,BARLEY,250,350.0,1400.0
Achham,2000,BARLEY,185,170.0,919.0
Achham,2001,BARLEY,185,170.0,919.0
Achham,2002,BARLEY,185,170.0,919.0
Achham,2003,BARLEY,185,170.0,919.0
Achham,2004,BARLEY,185,260.0,1405.0
Achham,2005,BARLEY,185,200.0,1081.0
Achham,2006,BARLEY,185,200.0,1081.0
Achham,2007,BARLEY,185,200.0,1081.0
Achham,2008,BARLEY,185,104.0,562.0
Achham,2009,BARLEY,185,104.0,562.0
Achham,2010,BARLEY,250,250.0,1000.0
Achham,2011,BARLEY,510,250.0,490.0
Achham,2012,BARLEY,512,563.0,1100.0
Achham,2013,BARLEY,505,566.0,1121.0
Achham,2014,BARLEY,660,1320.0,0.0
Achham,2015,BARLEY,505.0,564.0,1117.0
Achham,2016,BARLEY,505.0,554.0,1097.0
Achham,2017,BARLEY,455,554.0,1219.0
Achham,2018,BARLEY,446,544.0,1220.0
Achham,2019,BARLEY,445,564.0,1270.0
Achham,2020,BARLEY,41,65.0,800.0
Achham,2021,BARLEY,412.0,455.0,1100.0
Arghakhanchi,1979,BARLEY,290,260.0,897.0
Arghakhanchi,1980,BARLEY,300,150.0,500.0
Arghakhanchi,1981,BARLEY,300,210.0,700.0
Arghakhanchi,1982,BARLEY,300,270.0,900.0
Arghakhanchi,1983,BARLEY,300,270.0,900.0
Arghakhanchi,1984,BARLEY,270,240.0,889.0
Arghakhanchi,1985,BARLEY,260,180.0,692.0
Arghakhanchi,1986,BARLEY,210,150.0,714.0
Arghakhanchi,1987,BARLEY,600,540.0,900.0
Arghakhanchi,1988,BARLEY,500,470.0,940.0
