DISTRICT_NAME,YEAR,CROP_TYPE,AUTUMN_HUMIDITY,SPRING_HUMIDITY,SUMMER_HUMIDITY,WINTER_HUMIDITY,AUTUMN_RAINFALL,SPRING_RAINFALL,SUMMER_RAINFALL,WINTER_RAINFALL,AUTUMN_TEMPERATURE,SPRING_TEMPERATURE,SUMMER_TEMPERATURE,WINTER_TEMPERATURE,AUTUMN_WIND_SPEED,SPRING_WIND_SPEED,SUMMER_WIND_SPEED,WINTER_WIND_SPEED,YIELD
ACHHAM,1981,BARLEY,6.7,6.46,14.29,4.16,47.65,172.98,813.42,85.7,13.69,18.51,21.85,8.62,1.94,2.41,2.08,1.97,840.0
ACHHAM,1982,BARLEY,6.78,6.84,13.28,3.94,9.57,106.22,581.46,120.73,14.27,17.6,22.34,8.82,1.99,2.57,2.2,1.98,800.0
ACHHAM,1983,BARLEY,7.7,5.36,13.4,3.4,79.74,61.49,724.34,39.5,13.8,18.27,22.72,8.16,1.86,2.72,2.14,2.0,800.0
ACHHAM,1984,BARLEY,5.86,5.25,14.58,3.34,15.04,36.91,610.93,68.82,14.44,20.18,21.68,8.44,2.08,2.74,2.06,2.09,792.68
ACHHAM,1985,BARLEY,8.25,4.44,13.9,3.4,106.04,70.14,660.41,54.79,13.7,20.54,21.97,9.12,1.8,2.87,2.12,2.15,800.0
ACHHAM,1986,BARLEY,6.1,4.95,13.3,3.67,17.07,59.9,713.12,55.4,14.07,18.67,21.74,9.09,2.0,2.72,2.07,2.01,808.82
ACHHAM,1987,BARLEY,4.72,5.1,11.98,3.12,37.1,74.66,324.54,36.18,15.54,18.78,23.86,10.38,2.11,2.7,2.3,2.04,814.29
ACHHAM,1988,BARLEY,7.17,4.8,14.72,3.68,2.15,87.09,806.28,118.81,14.74,20.04,22.06,10.35,1.97,2.79,2.06,2.01,791.67
ACHHAM,1990,BARLEY,6.82,5.78,14.43,3.5,3.85,70.68,601.58,80.96,15.02,18.7,22.32,10.52,1.98,2.66,2.1,2.11,942.86
ACHHAM,1991,BARLEY,5.32,4.25,13.61,3.38,3.54,55.5,374.66,47.64,14.57,19.95,22.96,9.66,2.1,2.8,2.22,2.08,915.49
ACHHAM,1992,BARLEY,6.52,4.18,13.22,3.24,46.49,25.72,528.5,6.4,14.64,19.67,22.26,9.42,2.02,2.89,2.2,2.08,1313.73
ACHHAM,1993,BARLEY,4.47,4.7,13.64,2.76,0.05,68.4,344.66,22.47,15.8,18.58,22.7,10.4,2.22,2.72,2.24,2.12,911.54
ACHHAM,1994,BARLEY,5.74,4.39,13.87,3.16,0.52,21.4,403.4,44.09,15.02,20.13,23.0,9.81,2.16,2.85,2.22,2.2,930.77
ACHHAM,1995,BARLEY,6.21,4.42,13.68,3.28,17.76,11.91,408.63,47.48,15.7,19.98,22.94,9.02,2.09,2.74,2.28,2.16,1363.38
ACHHAM,1996,BARLEY,6.8,4.96,14.26,3.14,24.36,39.71,413.12,78.63,15.06,20.02,22.25,9.77,2.0,2.76,2.22,2.14,1383.4
ACHHAM,1997,BARLEY,5.8,4.64,13.5,2.9,12.9,38.12,286.14,67.23,14.67,18.58,22.88,8.59,2.01,2.71,2.3,2.16,1818.18
ACHHAM,1998,BARLEY,7.64,5.39,14.16,3.19,52.3,84.06,323.11,10.77,16.66,19.08,23.25,9.78,2.01,2.64,2.34,2.04,231.88
ACHHAM,1999,BARLEY,5.49,3.57,13.53,2.86,28.31,28.23,280.23,21.74,15.72,20.79,23.05,10.66,2.12,2.92,2.27,2.14,1400.0
ACHHAM,2000,BARLEY,6.62,4.81,14.96,2.79,0.52,97.57,661.72,25.05,15.18,20.01,21.42,9.34,2.0,2.75,2.06,2.14,918.92
ACHHAM,2001,BARLEY,6.04,5.11,14.72,2.64,23.26,49.38,563.16,2.66,15.84,19.55,22.18,10.36,2.05,2.66,2.05,2.14,918.92
ACHHAM,2002,BARLEY,6.01,4.8,12.64,3.26,7.02,23.83,324.64,99.99,15.65,20.49,23.36,9.8,2.12,2.72,2.26,2.13,918.92
ACHHAM,2003,BARLEY,6.6,4.55,14.12,3.62,32.56,9.94,577.29,54.97,15.12,19.53,22.64,9.54,1.98,2.71,2.11,2.08,918.92
ACHHAM,2004,BARLEY,7.06,5.54,14.6,3.86,39.38,141.95,701.02,32.07,13.9,20.75,21.56,9.98,1.88,2.7,2.02,1.99,1405.41
ACHHAM,2005,BARLEY,7.66,5.94,14.26,4.06,32.01,107.1,940.0,81.21,14.09,18.81,22.26,9.11,1.81,2.5,2.08,2.03,1081.08
ACHHAM,2006,BARLEY,7.65,6.98,15.04,3.93,24.25,169.53,805.24,23.72,14.8,18.6,21.55,11.47,1.93,2.36,1.94,2.04,1081.08
ACHHAM,2007,BARLEY,8.15,7.56,15.24,3.83,5.09,211.98,1051.14,120.59,14.47,18.57,21.7,9.32,1.76,2.38,2.01,2.03,1081.08
ACHHAM,2008,BARLEY,8.97,5.76,15.61,4.22,12.03,98.62,1185.81,13.82,14.9,19.26,20.79,9.53,1.68,2.54,1.86,1.93,562.16
ACHHAM,2009,BARLEY,7.74,5.69,13.92,4.16,144.49,54.96,759.38,20.88,14.24,19.7,22.75,10.69,1.87,2.6,2.17,2.03,562.16
ACHHAM,2010,BARLEY,9.45,5.37,14.38,4.15,50.3,39.11,1093.79,49.7,15.12,21.27,22.3,9.57,1.76,2.72,2.04,2.0,1000.0
ACHHAM,2011,BARLEY,9.26,6.8,15.3,4.34,1.6,92.78,1311.34,72.02,14.75,18.66,21.36,8.87,1.73,2.49,1.92,1.98,490.2
ACHHAM,2012,BARLEY,8.54,5.52,14.32,4.44,5.53,46.86,863.68,69.55,14.15,18.98,22.68,8.62,1.82,2.57,2.2,2.02,1099.61
ACHHAM,2013,BARLEY,9.64,6.62,16.2,5.17,65.66,35.84,1299.15,187.44,15.08,19.77,21.22,8.85,1.72,2.54,2.09,1.96,1120.79
ACHHAM,2014,BARLEY,8.16,6.75,14.59,4.66,42.77,75.47,809.52,120.54,15.04,18.9,22.72,9.36,1.92,2.48,2.2,1.96,2000.0
