DISTRICT_NAME,Year,Crop_Type,AREA,PRODUCTION,YIELD
Achham,1979,MAIZE,3100,4920.0,1587.0
Achham,1980,MAIZE,2850,4390.0,1540.0
Achham,1981,MAIZE,2850,3800.0,1333.0
Achham,1982,MAIZE,2850,3420.0,1200.0
Achham,1983,MAIZE,2850,3420.0,1200.0
Achham,1984,MAIZE,3140,3770.0,1201.0
Achham,1985,MAIZE,3150,3780.0,1200.0
Achham,1986,MAIZE,3130,3740.0,1195.0
Achham,1987,MAIZE,4150,4570.0,1101.0
Achham,1988,MAIZE,4200,5040.0,1200.0
Achham,1990,MAIZE,5140,7510.0,1461.0
Achham,1991,MAIZE,5200,7510.0,1444.0
Achham,1992,MAIZE,5220,7550.0,1446.0
Achham,1993,MAIZE,5000,7500.0,1500.0
Achham,1994,MAIZE,5220,7882.0,1510.0
Achham,1995,MAIZE,5000,7500.0,1500.0
Achham,1996,MAIZE,5000,7500.0,1500.0
Achham,1997,MAIZE,5200,7800.0,1500.0
Achham,1998,MAIZE,5150,8034.0,1560.0
Achham,1999,MAIZE,5200,7800.0,1500.0
Achham,2000,MAIZE,5195,6234.0,1200.0
Achham,2001,MAIZE,5115,7161.0,1400.0
Achham,2002,MAIZE,5195,6250.0,1203.0
Achham,2003,MAIZE,5195,6250.0,1203.0
Achham,2004,MAIZE,5195,6250.0,1203.0
Achham,2005,MAIZE,5195,6250.0,1203.0
Achham,2006,MAIZE,5336,8870.0,1662.0
Achham,2007,MAIZE,5336,8870.0,1662.0
Achham,2008,MAIZE,5336,8870.0,1662.0
Achham,2009,MAIZE,6346,8250.0,1300.0
Achham,2010,MAIZE,2545,4193.0,1648.0
Achham,2011,MAIZE,6351,10479.0,1650.0
Achham,2012,MAIZE,3350,9525.0,2843.0
Achham,2013,MAIZE,3652,10163.0,2783.0
Achham,2014,MAIZE,3652,10163.0,27833420.0
Achham,2015,MAIZE,3650,10693.0,2930.0
Achham,2016,MAIZE,6685,14707.0,2200.0
Achham,2017,MAIZE,7105,16636.0,2342.0
Achham,2018,MAIZE,6907,16349.0,2370.0
Achham,2019,MAIZE,6540,17697.0,2710.0
Achham,2020,MAIZE,6554,19266.0,2940.0
Achham,2021,MAIZE,6688,20714.0,3100.0
Arghakhanchi,1979,MAIZE,8850,11850.0,1339.0
Arghakhanchi,1980,MAIZE,8840,14230.0,1610.0
Arghakhanchi,1981,MAIZE,8740,13980.0,1600.0
Arghakhanchi,1982,MAIZE,8830,11300.0,1280.0
Arghakhanchi,1983,MAIZE,8830,13280.0,1504.0
Arghakhanchi,1984,MAIZE,8860,13290.0,1500.0
Arghakhanchi,1985,MAIZE,8900,15000.0,1685.0
Arghakhanchi,1986,MAIZE,8860,10600.0,1196.0
Arghakhanchi,1987,MAIZE,9950,11290.0,1135.0
Arghakhanchi,1988,MAIZE,9370,11990.0,1280.0
Arghakhanchi,1990,MAIZE,14500,23200.0,1600.0
Arghakhanchi,1991,MAIZE,14510,23210.0,1600.0
Arghakhanchi,1992,MAIZE,14550,24740.0,1700.0
Arghakhanchi,1993,MAIZE,12000,19800.0,1650.0
Arghakhanchi,1994,MAIZE,12890,21307.0,1653.0
Arghakhanchi,1995,MAIZE,15540,26000.0,1673.0
Arghakhanchi,1996,MAIZE,15540,23000.0,1480.0
Arghakhanchi,1997,MAIZE,15550,25660.0,1650.0
Arghakhanchi,1998,MAIZE,15530,24848.0,1600.0
Arghakhanchi,1999,MAIZE,16000,25660.0,1604.0
Arghakhanchi,2000,MAIZE,16500,28350.0,1718.0
Arghakhanchi,2001,MAIZE,16500,32175.0,1950.0
Arghakhanchi,2002,MAIZE,16500,28350.0,1718.0
Arghakhanchi,2003,MAIZE,16500,28350.0,1718.0
