DISTRICT_NAME,Year,Crop_Type,AREA,PRODUCTION,YIELD
Achham,1979,MILLET,900,1000.0,1111.0
Achham,1980,MILLET,850,1000.0,1176.0
Achham,1981,MILLET,850,940.0,1106.0
Achham,1982,MILLET,850,940.0,1106.0
Achham,1983,MILLET,850,760.0,894.0
Achham,1984,MILLET,1700,1530.0,900.0
Achham,1985,MILLET,1700,1700.0,1000.0
Achham,1986,MILLET,1720,1590.0,924.0
Achham,1987,MILLET,2000,1800.0,900.0
Achham,1988,MILLET,1560,1480.0,949.0
Achham,1990,MILLET,1700,2100.0,1235.0
Achham,1991,MILLET,1700,2110.0,1241.0
Achham,1992,MILLET,1750,2290.0,1309.0
Achham,1993,MILLET,1750,2290.0,1309.0
Achham,1994,MILLET,1750,2250.0,1286.0
Achham,1995,MILLET,1750,2000.0,1143.0
Achham,1996,MILLET,1750,2000.0,1143.0
Achham,1997,MILLET,1750,2000.0,1143.0
Achham,1998,MILLET,1784,2390.0,1340.0
Achham,1999,MILLET,1750,2000.0,1143.0
Achham,2000,MILLET,1734,2011.0,1160.0
Achham,2001,MILLET,1634,1960.0,1200.0
Achham,2002,MILLET,1730,1730.0,1000.0
Achham,2003,MILLET,1730,2000.0,1156.0
Achham,2004,MILLET,1730,2000.0,1156.0
Achham,2005,MILLET,1730,2000.0,1156.0
Achham,2006,MILLET,2545,2417.75,950.0
Achham,2007,MILLET,2545,2417.75,950.0
Achham,2008,MILLET,2545,2417.75,950.0
Achham,2009,MILLET,2843,3343.0,1176.0
Achham,2010,MILLET,4953,5353.0,1081.0
Achham,2011,MILLET,3412,3310.0,970.0
Achham,2012,MILLET,1310,3310.0,2527.0
Achham,2013,MILLET,3415,3427.0,1004.0
Achham,2014,MILLET,3550,1038.0,0.0
Achham,2015,MILLET,3413,3550.0,1040.0
Achham,2016,MILLET,3402,3742.0,1100.0
Achham,2017,MILLET,3407,3837.0,1126.0
Achham,2018,MILLET,3430,3840.0,1120.0
Achham,2019,MILLET,3538,3649.0,1030.0
Achham,2020,MILLET,12065,12371.0,1030.0
Achham,2021,MILLET,14730,24676.0,1680.0
Arghakhanchi,1979,MILLET,1800,1850.0,1028.0
Arghakhanchi,1980,MILLET,1800,2100.0,1167.0
Arghakhanchi,1981,MILLET,1000,1150.0,1150.0
Arghakhanchi,1982,MILLET,800,800.0,1000.0
Arghakhanchi,1983,MILLET,800,720.0,900.0
Arghakhanchi,1984,MILLET,1030,920.0,893.0
Arghakhanchi,1985,MILLET,1100,1000.0,909.0
Arghakhanchi,1986,MILLET,1000,900.0,900.0
Arghakhanchi,1987,MILLET,1200,1100.0,917.0
Arghakhanchi,1988,MILLET,1260,1160.0,921.0
Arghakhanchi,1990,MILLET,1730,2180.0,1260.0
Arghakhanchi,1991,MILLET,1720,2160.0,1256.0
Arghakhanchi,1992,MILLET,1750,2270.0,1297.0
Arghakhanchi,1993,MILLET,700,770.0,1100.0
Arghakhanchi,1994,MILLET,735,675.0,918.0
Arghakhanchi,1995,MILLET,1052,978.0,930.0
Arghakhanchi,1996,MILLET,1030,1000.0,971.0
Arghakhanchi,1997,MILLET,1050,1000.0,952.0
Arghakhanchi,1998,MILLET,1050,1000.0,952.0
Arghakhanchi,1999,MILLET,852,784.0,920.0
Arghakhanchi,2000,MILLET,850,850.0,1000.0
Arghakhanchi,2001,MILLET,850,820.0,965.0
Arghakhanchi,2002,MILLET,850,850.0,1000.0
Arghakhanchi,2003,MILLET,850,850.0,1000.0
Arghakhanchi,2004,MILLET,850,850.0,1000.0
Arghakhanchi,2005,MILLET,850,850.0,1000.0
Arghakhanchi,2006,MILLET,850,850.0,1000.0
Arghakhanchi,2007,MILLET,850,850.0,1000.0
Arghakhanchi,2008,MILLET,825,998.0,1210.0
Arghakhanchi,2009,MILLET,800,980.0,1225.0
Arghakhanchi,2010,MILLET,820,880.0,1073.0
Arghakhanchi,2011,MILLET,507,608.0,1199.0
Arghakhanchi,2012,MILLET,2918,606.0,208.0
Arghakhanchi,2013,MILLET,505,606.0,1200.0
Arghakhanchi,2014,MILLET,505,656.0,1299.0
Arghakhanchi,2015,MILLET,2900,3080.0,1062.0
Arghakhanchi,2016,MILLET,500,612.0,1224.0
Arghakhanchi,2017,MILLET,501,628.0,1253.0
Arghakhanchi,2018,MILLET,499,639.0,1280.0
Arghakhanchi,2019,MILLET,505,568.0,1120.0
Arghakhanchi,2020,MILLET,2761,2225.0,810.0
Arghakhanchi,2021,MILLET,7340,19955.0,2720.0
Baglung,1979,MILLET,1500,1450.0,967.0
Baglung,1980,MILLET,1000,1100.0,1100.0
Baglung,1981,MILLET,1000,1100.0,1100.0
Baglung,1982,MILLET,1000,1100.0,1100.0
Baglung,1983,MILLET,1000,900.0,900.0
Baglung,1984,MILLET,2000,1800.0,900.0
Baglung,1985,MILLET,2700,2700.0,1000.0
Baglung,1986,MILLET,3000,2800.0,933.0
Baglung,1987,MILLET,3900,3800.0,974.0
Baglung,1988,MILLET,3950,4350.0,1101.0
Baglung,1990,MILLET,4140,4950.0,1196.0
Baglung,1991,MILLET,4130,4930.0,1194.0
Baglung,1992,MILLET,4150,4940.0,1190.0
Baglung,1993,MILLET,7500,7575.0,1010.0
Baglung,1994,MILLET,7500,7575.0,1010.0
Baglung,1995,MILLET,7500,7035.0,938.0
Baglung,1996,MILLET,7250,7250.0,1000.0
Baglung,1997,MILLET,7300,7300.0,1000.0
Baglung,1998,MILLET,8161,8160.0,1000.0
Baglung,1999,MILLET,7300,7300.0,1000.0
Baglung,2000,MILLET,20040,22000.0,1098.0
Baglung,2001,MILLET,18550,21333.0,1150.0
Baglung,2002,MILLET,20040,20040.0,1000.0
Baglung,2003,MILLET,20100,22185.0,1104.0
Baglung,2004,MILLET,18165,21974.0,1210.0
Baglung,2005,MILLET,18165,21974.0,1210.0
Baglung,2006,MILLET,18165,21974.0,1210.0
Baglung,2007,MILLET,18900,23058.0,1220.0
Baglung,2008,MILLET,18920,23900.0,1263.0
Baglung,2009,MILLET,18920,23920.0,1264.0
Baglung,2010,MILLET,17700,23030.0,1301.0
Baglung,2011,MILLET,18655,22386.0,1200.0
Baglung,2012,MILLET,2743,21989.0,8016.0
Baglung,2013,MILLET,18615,21965.0,1180.0
Baglung,2014,MILLET,18559,21785.0,1174.0
Baglung,2015,MILLET,18605,22173.0,1192.0
Baglung,2016,MILLET,18580,22190.0,1194.0
Baglung,2017,MILLET,18608,22753.0,1223.0
Baglung,2018,MILLET,18163,22505.0,1240.0
Baglung,2019,MILLET,18255,22856.0,1250.0
Baglung,2020,MILLET,2558,3352.0,1310.0
Baglung,2021,MILLET,6900,17319.0,2510.0
Baitadi,1979,MILLET,900,1060.0,1178.0
Baitadi,1980,MILLET,1000,1100.0,1100.0
Baitadi,1981,MILLET,1000,1100.0,1100.0
Baitadi,1982,MILLET,1000,1100.0,1100.0
Baitadi,1983,MILLET,1000,900.0,900.0
Baitadi,1984,MILLET,1200,1080.0,900.0
Baitadi,1985,MILLET,1000,1000.0,1000.0
Baitadi,1986,MILLET,1110,1050.0,946.0
Baitadi,1987,MILLET,1360,1220.0,897.0
Baitadi,1988,MILLET,1000,950.0,950.0
Baitadi,1990,MILLET,1360,1560.0,1147.0
Baitadi,1991,MILLET,1360,1450.0,1066.0
Baitadi,1992,MILLET,1360,1600.0,1176.0
