DISTRICT_NAME,Year,Crop_Type,AREA,PRODUCTION,YIELD
Achham,1979,PADDY,2450,2540.0,1037.0
Achham,1980,PADDY,2600,3600.0,1385.0
Achham,1981,PADDY,2690,3770.0,1401.0
Achham,1982,PADDY,1930,2700.0,1399.0
Achham,1983,PADDY,1930,2890.0,1497.0
Achham,1984,PADDY,3180,4450.0,1399.0
Achham,1985,PADDY,3200,4560.0,1425.0
Achham,1986,PADDY,3250,3940.0,1212.0
Achham,1987,PADDY,3650,6210.0,1701.0
Achham,1988,PADDY,3470,5550.0,1599.0
Achham,1990,PADDY,5290,10900.0,2060.0
Achham,1991,PADDY,6750,14180.0,2101.0
Achham,1992,PADDY,6700,13330.0,1990.0
Achham,1993,PADDY,6699,13471.0,2011.0
Achham,1994,PADDY,6700,12000.0,1791.0
Achham,1995,PADDY,6700,13471.0,2011.0
Achham,1996,PADDY,6700,13500.0,2015.0
Achham,1997,PADDY,6750,14570.0,2159.0
Achham,1998,PADDY,6800,16200.0,2382.0
Achham,1999,PADDY,6750,14570.0,2159.0
Achham,2000,PADDY,6914,15279.0,2210.0
Achham,2001,PADDY,6992,16781.0,2400.0
Achham,2002,PADDY,6910,15270.0,2210.0
Achham,2003,PADDY,6910,15270.0,2210.0
Achham,2004,PADDY,6910,15270.0,2210.0
Achham,2005,PADDY,6910,15270.0,2210.0
Achham,2006,PADDY,7480,14960.0,2000.0
Achham,2007,PADDY,7480,14960.0,2000.0
Achham,2008,PADDY,7480,14960.0,2000.0
Achham,2009,PADDY,7450,13700.0,1839.0
Achham,2010,PADDY,7570,18000.0,2378.0
Achham,2011,PADDY,11570,18000.0,1556.0
Achham,2012,PADDY,12569,31138.0,2477.0
Achham,2013,PADDY,16572,34795.0,2100.0
Achham,2014,PADDY,16500,34795.0,2109.0
Achham,2015,PADDY,16571,31539.0,1903.0
Achham,2016,PADDY,16580,34818.0,2100.0
Achham,2017,PADDY,15694,34296.0,2185.0
Achham,2018,PADDY,15467,34955.0,2260.0
Achham,2019,PADDY,16580.0,34818.0,2100.0
Achham,2020,PADDY,16590,44295.0,2670.0
Achham,2021,PADDY,15003,31887.0,2130.0
Arghakhanchi,1979,PADDY,1900,3730.0,1963.0
Arghakhanchi,1980,PADDY,1890,4100.0,2169.0
Arghakhanchi,1981,PADDY,1790,3580.0,2000.0
Arghakhanchi,1982,PADDY,1690,3090.0,1828.0
Arghakhanchi,1983,PADDY,1700,3500.0,2059.0
Arghakhanchi,1984,PADDY,3020,5440.0,1801.0
Arghakhanchi,1985,PADDY,3050,6100.0,2000.0
Arghakhanchi,1986,PADDY,3040,5480.0,1803.0
Arghakhanchi,1987,PADDY,4100,7430.0,1812.0
Arghakhanchi,1988,PADDY,4550,8660.0,1903.0
Arghakhanchi,1990,PADDY,4820,9670.0,2006.0
Arghakhanchi,1991,PADDY,4810,9270.0,1927.0
Arghakhanchi,1992,PADDY,4750,8970.0,1888.0
Arghakhanchi,1993,PADDY,6630,13961.0,2106.0
Arghakhanchi,1994,PADDY,6659,14000.0,2102.0
Arghakhanchi,1995,PADDY,7150,14972.0,2094.0
Arghakhanchi,1996,PADDY,7150,15000.0,2098.0
Arghakhanchi,1997,PADDY,7150,15000.0,2098.0
Arghakhanchi,1998,PADDY,7170,15100.0,2106.0
Arghakhanchi,1999,PADDY,7700,13090.0,1700.0
Arghakhanchi,2000,PADDY,7700,13900.0,1805.0
Arghakhanchi,2001,PADDY,7710,17010.0,2206.0
Arghakhanchi,2002,PADDY,7700,13900.0,1805.0
Arghakhanchi,2003,PADDY,7700,13900.0,1805.0
Arghakhanchi,2004,PADDY,7700,13900.0,1805.0
Arghakhanchi,2005,PADDY,7700,13900.0,1805.0
Arghakhanchi,2006,PADDY,7419,14500.0,1954.0
Arghakhanchi,2007,PADDY,7419,14500.0,1954.0
Arghakhanchi,2008,PADDY,8735,19545.0,2238.0
Arghakhanchi,2009,PADDY,8720,19220.0,2204.0
Arghakhanchi,2010,PADDY,8768,22796.8,2600.0
Arghakhanchi,2011,PADDY,8189,26204.8,3200.0
Arghakhanchi,2012,PADDY,8672,25437.0,2933.0
Arghakhanchi,2013,PADDY,8672,26306.0,3033.0
Arghakhanchi,2014,PADDY,8189,25386.0,3100.0
Arghakhanchi,2015,PADDY,8050,23345.0,2900.0
Arghakhanchi,2016,PADDY,8050,21767.0,2704.0
Arghakhanchi,2017,PADDY,7620,21441.0,2814.0
Arghakhanchi,2018,PADDY,7425,24131.0,3250.0
Arghakhanchi,2019,PADDY,6819.0,22597.0,3310.0
Arghakhanchi,2020,PADDY,6385,21219.0,3320.0
Arghakhanchi,2021,PADDY,7164,21942.0,3060.0
Baglung,1979,PADDY,2600,3710.0,1427.0
Baglung,1980,PADDY,2600,5590.0,2150.0
Baglung,1981,PADDY,3020,7550.0,2500.0
Baglung,1982,PADDY,4600,10350.0,2250.0
Baglung,1983,PADDY,4600,10380.0,2257.0
Baglung,1984,PADDY,4900,8820.0,1800.0
Baglung,1985,PADDY,5000,9000.0,1800.0
Baglung,1986,PADDY,5020,9030.0,1799.0
Baglung,1987,PADDY,5050,10100.0,2000.0
Baglung,1988,PADDY,5010,10180.0,2032.0
Baglung,1990,PADDY,5190,12060.0,2324.0
Baglung,1991,PADDY,4960,11250.0,2268.0
Baglung,1992,PADDY,4900,9800.0,2000.0
Baglung,1993,PADDY,4750,8850.0,1863.0
Baglung,1994,PADDY,4759,10476.0,2201.0
Baglung,1995,PADDY,4762,10000.0,2100.0
Baglung,1996,PADDY,4820,10600.0,2199.0
Baglung,1997,PADDY,5508,13120.0,2382.0
Baglung,1998,PADDY,5348,12736.0,2381.0
Baglung,1999,PADDY,5508,13120.0,2382.0
Baglung,2000,PADDY,5558,14437.0,2598.0
Baglung,2001,PADDY,5558,14954.0,2691.0
Baglung,2002,PADDY,5560,14430.0,2595.0
Baglung,2003,PADDY,5520,14962.0,2711.0
Baglung,2004,PADDY,5580,12847.0,2302.0
Baglung,2005,PADDY,5717,14411.0,2521.0
Baglung,2006,PADDY,5337,11971.0,2243.0
Baglung,2007,PADDY,5735,12156.0,2120.0
Baglung,2008,PADDY,5735,14900.0,2598.0
Baglung,2009,PADDY,5700,13500.0,2368.0
Baglung,2010,PADDY,5792,17121.0,2956.0
Baglung,2011,PADDY,5934,17147.0,2890.0
Baglung,2012,PADDY,5934,18316.0,3087.0
Baglung,2013,PADDY,5927,18897.0,3188.0
Baglung,2014,PADDY,5782,17715.0,3064.0
Baglung,2015,PADDY,5874,17849.0,3039.0
Baglung,2016,PADDY,5570,17926.0,3218.0
Baglung,2017,PADDY,5272,17657.0,3349.0
Baglung,2018,PADDY,5987,21374.0,3570.0
Baglung,2019,PADDY,5580.0,19132.0,3430.0
Baglung,2020,PADDY,5707,18261.0,3200.0
Baglung,2021,PADDY,5893,20307.0,3450.0
Baitadi,1979,PADDY,3100,3910.0,1261.0
Baitadi,1980,PADDY,3300,6570.0,1991.0
Baitadi,1981,PADDY,3300,6600.0,2000.0
Baitadi,1982,PADDY,3300,6270.0,1900.0
Baitadi,1983,PADDY,3500,5940.0,1697.0
Baitadi,1984,PADDY,3450,5040.0,1461.0
Baitadi,1985,PADDY,3300,3780.0,1145.0
Baitadi,1986,PADDY,4000,4240.0,1060.0
Baitadi,1987,PADDY,4050,5670.0,1400.0
Baitadi,1988,PADDY,4200,6300.0,1500.0
Baitadi,1990,PADDY,5000,9000.0,1800.0
Baitadi,1991,PADDY,5000,8500.0,1700.0
Baitadi,1992,PADDY,4970,8210.0,1652.0
Baitadi,1993,PADDY,5000,8500.0,1700.0
Baitadi,1994,PADDY,5000,8513.0,1703.0
Baitadi,1995,PADDY,5500,10405.0,1892.0
Baitadi,1996,PADDY,5510,10500.0,1906.0
Baitadi,1997,PADDY,5550,9450.0,1703.0
Baitadi,1998,PADDY,5550,10100.0,1820.0
Baitadi,1999,PADDY,5550,9450.0,1703.0
Baitadi,2000,PADDY,5325,9053.0,1700.0
Baitadi,2001,PADDY,5330,10660.0,2000.0
Baitadi,2002,PADDY,5325,9050.0,1700.0
Baitadi,2003,PADDY,5325,10500.0,1972.0
Baitadi,2004,PADDY,6100,14030.0,2300.0
Baitadi,2005,PADDY,5320,9050.0,1701.0
Baitadi,2006,PADDY,5320,8138.0,1530.0
Baitadi,2007,PADDY,5330,9660.0,1812.0
Baitadi,2008,PADDY,5330,9660.0,1812.0
Baitadi,2009,PADDY,5300,10017.0,1890.0
Baitadi,2010,PADDY,6221,14182.0,2280.0
Baitadi,2011,PADDY,6000,15000.0,2500.0
Baitadi,2012,PADDY,6500,14280.0,2197.0
Baitadi,2013,PADDY,7000,15680.0,2240.0
Baitadi,2014,PADDY,7000,15680.0,2240.0
Baitadi,2015,PADDY,7000,16470.0,2353.0
Baitadi,2016,PADDY,8000,18540.0,2318.0
Baitadi,2017,PADDY,7573,18262.0,2412.0
Baitadi,2018,PADDY,7624,19365.0,2540.0
Baitadi,2019,PADDY,8545.0,18190.0,2130.0
Baitadi,2020,PADDY,8447,20695.0,2450.0
Baitadi,2021,PADDY,7219,16676.0,2310.0
Bajhang,1979,PADDY,2700,4590.0,1700.0
Bajhang,1980,PADDY,2700,4510.0,1670.0
Bajhang,1981,PADDY,3100,5180.0,1671.0
Bajhang,1982,PADDY,2940,4910.0,1670.0
Bajhang,1983,PADDY,2940,4940.0,1680.0
Bajhang,1984,PADDY,2700,3510.0,1300.0
Bajhang,1985,PADDY,2700,4050.0,1500.0
Bajhang,1986,PADDY,3090,4940.0,1599.0
Bajhang,1987,PADDY,3400,5780.0,1700.0
Bajhang,1988,PADDY,3550,6490.0,1828.0
Bajhang,1990,PADDY,3800,7880.0,2074.0
Bajhang,1991,PADDY,3580,7340.0,2050.0
Bajhang,1992,PADDY,3510,6670.0,1900.0
Bajhang,1993,PADDY,3400,6710.0,1974.0
