DISTRICT_NAME,YEAR,CROP_TYPE,AREA,PRODUCTION,YIELD,AUTUMN_HUMIDITY,SPRING_HUMIDITY,SUMMER_HUMIDITY,WINTER_HUMIDITY,AUTUMN_RAINFALL,SPRING_RAINFALL,SUMMER_RAINFALL,WINTER_RAINFALL,AUTUMN_TEMPERATURE,SPRING_TEMPERATURE,SUMMER_TEMPERATURE,WINTER_TEMPERATURE,AUTUMN_WIND_SPEED,SPRING_WIND_SPEED,SUMMER_WIND_SPEED,WINTER_WIND_SPEED
ACHHAM,1981,PADDY,2690.0,3770.0,1401.0,6.7,6.46,14.29,4.16,47.65,172.98,813.42,85.7,13.69,18.51,21.85,8.62,1.94,2.41,2.08,1.97
ACHHAM,1982,PADDY,1930.0,2700.0,1399.0,6.78,6.84,13.28,3.94,9.57,106.22,581.46,120.73,14.27,17.6,22.34,8.82,1.99,2.57,2.2,1.98
ACHHAM,1983,PADDY,1930.0,2890.0,1497.0,7.7,5.36,13.4,3.4,79.74,61.49,724.34,39.5,13.8,18.27,22.72,8.16,1.86,2.72,2.14,2.0
ACHHAM,1984,PADDY,3180.0,4450.0,1399.0,5.86,5.25,14.58,3.34,15.04,36.91,610.93,68.82,14.44,20.18,21.68,8.44,2.08,2.74,2.06,2.09
ACHHAM,1985,PADDY,3200.0,4560.0,1425.0,8.25,4.44,13.9,3.4,106.04,70.14,660.41,54.79,13.7,20.54,21.97,9.12,1.8,2.87,2.12,2.15
ACHHAM,1986,PADDY,3250.0,3940.0,1212.0,6.1,4.95,13.3,3.67,17.07,59.9,713.12,55.4,14.07,18.67,21.74,9.09,2.0,2.72,2.07,2.01
ACHHAM,1987,PADDY,3650.0,6210.0,1701.0,4.72,5.1,11.98,3.12,37.1,74.66,324.54,36.18,15.54,18.78,23.86,10.38,2.11,2.7,2.3,2.04
ACHHAM,1988,PADDY,3470.0,5550.0,1599.0,7.17,4.8,14.72,3.68,2.15,87.09,806.28,118.81,14.74,20.04,22.06,10.35,1.97,2.79,2.06,2.01
ACHHAM,1990,PADDY,5290.0,10900.0,2060.0,6.82,5.78,14.43,3.5,3.85,70.68,601.58,80.96,15.02,18.7,22.32,10.52,1.98,2.66,2.1,2.11
ACHHAM,1991,PADDY,6750.0,14180.0,2101.0,5.32,4.25,13.61,3.38,3.54,55.5,374.66,47.64,14.57,19.95,22.96,9.66,2.1,2.8,2.22,2.08
ACHHAM,1992,PADDY,6700.0,13330.0,1990.0,6.52,4.18,13.22,3.24,46.49,25.72,528.5,6.4,14.64,19.67,22.26,9.42,2.02,2.89,2.2,2.08
ACHHAM,1993,PADDY,6699.0,13471.0,2011.0,4.47,4.7,13.64,2.76,0.05,68.4,344.66,22.47,15.8,18.58,22.7,10.4,2.22,2.72,2.24,2.12
