DISTRICT_NAME,Year,Crop_Type,AREA,PRODUCTION,YIELD
Achham,1979,WHEAT,2850,2600.0,912.0
Achham,1980,WHEAT,3200,2720.0,850.0
Achham,1981,WHEAT,3200,3200.0,1000.0
Achham,1982,WHEAT,3200,3360.0,1050.0
Achham,1983,WHEAT,3200,3520.0,1100.0
Achham,1984,WHEAT,3990,3590.0,900.0
Achham,1985,WHEAT,5000,4000.0,800.0
Achham,1986,WHEAT,5500,4950.0,900.0
Achham,1987,WHEAT,6500,5800.0,892.0
Achham,1988,WHEAT,6410,6020.0,939.0
Achham,1990,WHEAT,6450,6500.0,1008.0
Achham,1991,WHEAT,6460,6400.0,991.0
Achham,1992,WHEAT,6950,6450.0,928.0
Achham,1993,WHEAT,7000,8290.0,1184.0
Achham,1994,WHEAT,7000,8400.0,1200.0
Achham,1995,WHEAT,7182,8400.0,1170.0
Achham,1996,WHEAT,6954,9690.0,1393.0
Achham,1997,WHEAT,7050,10460.0,1484.0
Achham,1998,WHEAT,6680,10520.0,1575.0
Achham,1999,WHEAT,7100,11150.0,1570.0
Achham,2000,WHEAT,7215,12037.0,1668.0
Achham,2001,WHEAT,7215,12037.0,1668.0
Achham,2002,WHEAT,7215,12037.0,1668.0
Achham,2003,WHEAT,7215,12030.0,1667.0
Achham,2004,WHEAT,6100,11000.0,1803.0
Achham,2005,WHEAT,7151,10010.0,1400.0
Achham,2006,WHEAT,7151,9000.0,1259.0
Achham,2007,WHEAT,7151,9000.0,1259.0
Achham,2008,WHEAT,7151,6671.0,933.0
Achham,2009,WHEAT,7151,7151.0,1000.0
Achham,2010,WHEAT,16150,28000.0,1734.0
Achham,2011,WHEAT,16140,25500.0,1580.0
Achham,2012,WHEAT,15332,24145.0,1575.0
Achham,2013,WHEAT,15335,22932.0,1495.0
Achham,2014,WHEAT,22500,1479.0,500.0
Achham,2015,WHEAT,14300,21010.0,1469.0
Achham,2016,WHEAT,14580,23321.0,1600.0
Achham,2017,WHEAT,14898,24487.0,1644.0
Achham,2018,WHEAT,14460,25207.0,1740.0
Achham,2019,WHEAT,14419,30714.0,2130.0
Achham,2020,WHEAT,14453,22689.0,1570.0
Achham,2021,WHEAT,3857,4912.0,1270.0
Arghakhanchi,1979,WHEAT,810,930.0,1148.0
Arghakhanchi,1980,WHEAT,810,930.0,1148.0
Arghakhanchi,1981,WHEAT,1070,1070.0,1000.0
Arghakhanchi,1982,WHEAT,1000,1420.0,1420.0
Arghakhanchi,1983,WHEAT,1000,1000.0,1000.0
Arghakhanchi,1984,WHEAT,1460,730.0,500.0
Arghakhanchi,1985,WHEAT,2000,1800.0,900.0
Arghakhanchi,1986,WHEAT,2050,2050.0,1000.0
Arghakhanchi,1987,WHEAT,4700,5170.0,1100.0
Arghakhanchi,1988,WHEAT,4930,4910.0,996.0
Arghakhanchi,1990,WHEAT,4900,5420.0,1106.0
Arghakhanchi,1991,WHEAT,4910,5100.0,1039.0
Arghakhanchi,1992,WHEAT,6250,5180.0,829.0
Arghakhanchi,1993,WHEAT,5700,7419.0,1302.0
Arghakhanchi,1994,WHEAT,5780,8164.0,1412.0
Arghakhanchi,1995,WHEAT,5780,7100.0,1228.0
Arghakhanchi,1996,WHEAT,5780,8380.0,1450.0
Arghakhanchi,1997,WHEAT,6750,8380.0,1241.0
Arghakhanchi,1998,WHEAT,4870,10170.0,2088.0
Arghakhanchi,1999,WHEAT,7000,10500.0,1500.0
Arghakhanchi,2000,WHEAT,7000,9800.0,1400.0
Arghakhanchi,2001,WHEAT,7375,11971.0,1623.0
Arghakhanchi,2002,WHEAT,7375,11971.0,1623.0
Arghakhanchi,2003,WHEAT,7375,11970.0,1623.0
Arghakhanchi,2004,WHEAT,7375,11970.0,1623.0
Arghakhanchi,2005,WHEAT,7375,11500.0,1559.0
Arghakhanchi,2006,WHEAT,7340,13946.0,1900.0
Arghakhanchi,2007,WHEAT,7300,13720.0,1879.0
Arghakhanchi,2008,WHEAT,7340,8630.0,1176.0
Arghakhanchi,2009,WHEAT,7340,7340.0,1000.0
Arghakhanchi,2010,WHEAT,7340,13478.0,1836.0
Arghakhanchi,2011,WHEAT,7340,12478.0,1700.0
Arghakhanchi,2012,WHEAT,7340,13698.0,1866.0
Arghakhanchi,2013,WHEAT,7335,12952.0,1766.0
Arghakhanchi,2014,WHEAT,7340,16000.0,2180.0
Arghakhanchi,2015,WHEAT,7340,12952.0,1765.0
Arghakhanchi,2016,WHEAT,7140,14952.0,2094.0
Arghakhanchi,2017,WHEAT,5340,15700.0,2940.0
Arghakhanchi,2018,WHEAT,5446,16067.0,2950.0
Arghakhanchi,2019,WHEAT,5451,16025.0,2940.0
Arghakhanchi,2020,WHEAT,5782,16012.0,2770.0
Arghakhanchi,2021,WHEAT,511,577.0,1130.0
Baglung,1979,WHEAT,1800,2320.0,1289.0
