DISTRICT_NAME,YEAR,CROP_TYPE,AREA,PRODUCTION,YIELD
ACHHAM,1979,BARLEY,550,500,909
ACHHAM,1979,MAIZE,3100,4920,1587
ACHHAM,1979,MILLET,900,1000,1111
ACHHAM,1979,PADDY,2450,2540,1037
ACHHAM,1979,WHEAT,2850,2600,912
ACHHAM,1980,BARLEY,500,400,800
ACHHAM,1980,MAIZE,2850,4390,1540
ACHHAM,1980,MILLET,850,1000,1176
ACHHAM,1980,PADDY,2600,3600,1385
ACHHAM,1980,WHEAT,3200,2720,850
ACHHAM,1981,BARLEY,500,420,840
ACHHAM,1981,MAIZE,2850,3800,1333
ACHHAM,1981,MILLET,850,940,1106
ACHHAM,1981,PADDY,2690,3770,1401
ACHHAM,1981,WHEAT,3200,3200,1000
ACHHAM,1982,BARLEY,500,400,800
ACHHAM,1982,MAIZE,2850,3420,1200
ACHHAM,1982,MILLET,850,940,1106
ACHHAM,1982,PADDY,1930,2700,1399
ACHHAM,1982,WHEAT,3200,3360,1050
ACHHAM,1983,BARLEY,500,400,800
ACHHAM,1983,MAIZE,2850,3420,1200
ACHHAM,1983,MILLET,850,760,894
ACHHAM,1983,PADDY,1930,2890,1497
ACHHAM,1983,WHEAT,3200,3520,1100
ACHHAM,1984,BARLEY,820,650,793
ACHHAM,1984,MAIZE,3140,3770,1201
ACHHAM,1984,MILLET,1700,1530,900
ACHHAM,1984,PADDY,3180,4450,1399
ACHHAM,1984,WHEAT,3990,3590,900
ACHHAM,1985,BARLEY,900,720,800
ACHHAM,1985,MAIZE,3150,3780,1200
ACHHAM,1985,MILLET,1700,1700,1000
ACHHAM,1985,PADDY,3200,4560,1425
ACHHAM,1985,WHEAT,5000,4000,800
ACHHAM,1986,BARLEY,680,550,809
ACHHAM,1986,MAIZE,3130,3740,1195
ACHHAM,1986,MILLET,1720,1590,924
ACHHAM,1986,PADDY,3250,3940,1212
ACHHAM,1986,WHEAT,5500,4950,900
ACHHAM,1987,BARLEY,700,570,814
ACHHAM,1987,MAIZE,4150,4570,1101
ACHHAM,1987,MILLET,2000,1800,900
ACHHAM,1987,PADDY,3650,6210,1701
ACHHAM,1987,WHEAT,6500,5800,892
ACHHAM,1988,BARLEY,720,570,792
ACHHAM,1988,MAIZE,4200,5040,1200
ACHHAM,1988,MILLET,1560,1480,949
ACHHAM,1988,PADDY,3470,5550,1599
ACHHAM,1988,WHEAT,6410,6020,939
ACHHAM,1990,BARLEY,700,660,943
ACHHAM,1990,MAIZE,5140,7510,1461
ACHHAM,1990,MILLET,1700,2100,1235
ACHHAM,1990,PADDY,5290,10900,2060
ACHHAM,1990,WHEAT,6450,6500,1008
ACHHAM,1991,BARLEY,710,650,915
ACHHAM,1991,MAIZE,5200,7510,1444
ACHHAM,1991,MILLET,1700,2110,1241
ACHHAM,1991,PADDY,6750,14180,2101
ACHHAM,1991,WHEAT,6460,6400,991
ACHHAM,1992,BARLEY,510,670,1314
ACHHAM,1992,MAIZE,5220,7550,1446
ACHHAM,1992,MILLET,1750,2290,1309
ACHHAM,1992,PADDY,6700,13330,1990
ACHHAM,1992,WHEAT,6950,6450,928
ACHHAM,1993,BARLEY,520,474,912
ACHHAM,1993,MAIZE,5000,7500,1500
ACHHAM,1993,MILLET,1750,2290,1309
ACHHAM,1993,PADDY,6699,13471,2011
ACHHAM,1993,WHEAT,7000,8290,1184
ACHHAM,1994,BARLEY,520,484,931
ACHHAM,1994,MAIZE,5220,7882,1510
ACHHAM,1994,MILLET,1750,2250,1286
ACHHAM,1994,PADDY,6700,12000,1791
ACHHAM,1994,WHEAT,7000,8400,1200
ACHHAM,1995,BARLEY,355,484,1363
ACHHAM,1995,MAIZE,5000,7500,1500
ACHHAM,1995,MILLET,1750,2000,1143
ACHHAM,1995,PADDY,6700,13471,2011
ACHHAM,1995,WHEAT,7182,8400,1170
ACHHAM,1996,BARLEY,253,350,1383
ACHHAM,1996,MAIZE,5000,7500,1500
ACHHAM,1996,MILLET,1750,2000,1143
ACHHAM,1996,PADDY,6700,13500,2015
ACHHAM,1996,WHEAT,6954,9690,1393
ACHHAM,1997,BARLEY,154,280,1818
ACHHAM,1997,MAIZE,5200,7800,1500
ACHHAM,1997,MILLET,1750,2000,1143
ACHHAM,1997,PADDY,6750,14570,2159
ACHHAM,1997,WHEAT,7050,10460,1484
ACHHAM,1998,BARLEY,690,160,232
ACHHAM,1998,MAIZE,5150,8034,1560
