DISTRICT_NAME,YEAR,CROP_TYPE,AREA,PRODUCTION,YIELD
ACHHAM,1979,BARLEY,550,500.0,909.0
ACHHAM,1979,MAIZE,3100,4920.0,1587.0
ACHHAM,1979,MILLET,900,1000.0,1111.0
ACHHAM,1979,PADDY,2450,2540.0,1037.0
ACHHAM,1979,WHEAT,2850,2600.0,912.0
ACHHAM,1980,BARLEY,500,400.0,800.0
ACHHAM,1980,MAIZE,2850,4390.0,1540.0
ACHHAM,1980,MILLET,850,1000.0,1176.0
ACHHAM,1980,PADDY,2600,3600.0,1385.0
ACHHAM,1980,WHEAT,3200,2720.0,850.0
ACHHAM,1981,BARLEY,500,420.0,840.0
ACHHAM,1981,MAIZE,2850,3800.0,1333.0
ACHHAM,1981,MILLET,850,940.0,1106.0
ACHHAM,1981,PADDY,2690,3770.0,1401.0
ACHHAM,1981,WHEAT,3200,3200.0,1000.0
ACHHAM,1982,BARLEY,500,400.0,800.0
ACHHAM,1982,MAIZE,2850,3420.0,1200.0
ACHHAM,1982,MILLET,850,940.0,1106.0
ACHHAM,1982,PADDY,1930,2700.0,1399.0
ACHHAM,1982,WHEAT,3200,3360.0,1050.0
ACHHAM,1983,BARLEY,500,400.0,800.0
ACHHAM,1983,MAIZE,2850,3420.0,1200.0
ACHHAM,1983,MILLET,850,760.0,894.0
ACHHAM,1983,PADDY,1930,2890.0,1497.0
ACHHAM,1983,WHEAT,3200,3520.0,1100.0
ACHHAM,1984,BARLEY,820,650.0,793.0
ACHHAM,1984,MAIZE,3140,3770.0,1201.0
ACHHAM,1984,MILLET,1700,1530.0,900.0
ACHHAM,1984,PADDY,3180,4450.0,1399.0
ACHHAM,1984,WHEAT,3990,3590.0,900.0
ACHHAM,1985,BARLEY,900,720.0,800.0
ACHHAM,1985,MAIZE,3150,3780.0,1200.0
ACHHAM,1985,MILLET,1700,1700.0,1000.0
ACHHAM,1985,PADDY,3200,4560.0,1425.0
ACHHAM,1985,WHEAT,5000,4000.0,800.0
ACHHAM,1986,BARLEY,680,550.0,809.0
ACHHAM,1986,MAIZE,3130,3740.0,1195.0
ACHHAM,1986,MILLET,1720,1590.0,924.0
ACHHAM,1986,PADDY,3250,3940.0,1212.0
ACHHAM,1986,WHEAT,5500,4950.0,900.0
ACHHAM,1987,BARLEY,700,570.0,814.0
ACHHAM,1987,MAIZE,4150,4570.0,1101.0
ACHHAM,1987,MILLET,2000,1800.0,900.0
ACHHAM,1987,PADDY,3650,6210.0,1701.0
ACHHAM,1987,WHEAT,6500,5800.0,892.0
ACHHAM,1988,BARLEY,720,570.0,792.0
ACHHAM,1988,MAIZE,4200,5040.0,1200.0
ACHHAM,1988,MILLET,1560,1480.0,949.0
ACHHAM,1988,PADDY,3470,5550.0,1599.0
ACHHAM,1988,WHEAT,6410,6020.0,939.0
ACHHAM,1990,BARLEY,700,660.0,943.0
ACHHAM,1990,MAIZE,5140,7510.0,1461.0
ACHHAM,1990,MILLET,1700,2100.0,1235.0
ACHHAM,1990,PADDY,5290,10900.0,2060.0
ACHHAM,1990,WHEAT,6450,6500.0,1008.0
ACHHAM,1991,BARLEY,710,650.0,915.0
ACHHAM,1991,MAIZE,5200,7510.0,1444.0
ACHHAM,1991,MILLET,1700,2110.0,1241.0
ACHHAM,1991,PADDY,6750,14180.0,2101.0
ACHHAM,1991,WHEAT,6460,6400.0,991.0
ACHHAM,1992,BARLEY,510,670.0,1314.0
ACHHAM,1992,MAIZE,5220,7550.0,1446.0
ACHHAM,1992,MILLET,1750,2290.0,1309.0
ACHHAM,1992,PADDY,6700,13330.0,1990.0
ACHHAM,1992,WHEAT,6950,6450.0,928.0
ACHHAM,1993,BARLEY,520,474.0,912.0
ACHHAM,1993,MAIZE,5000,7500.0,1500.0
ACHHAM,1993,MILLET,1750,2290.0,1309.0
ACHHAM,1993,PADDY,6699,13471.0,2011.0
ACHHAM,1993,WHEAT,7000,8290.0,1184.0
ACHHAM,1994,BARLEY,520,484.0,931.0
ACHHAM,1994,MAIZE,5220,7882.0,1510.0
ACHHAM,1994,MILLET,1750,2250.0,1286.0
ACHHAM,1994,PADDY,6700,12000.0,1791.0
ACHHAM,1994,WHEAT,7000,8400.0,1200.0
ACHHAM,1995,BARLEY,355,484.0,1363.0
ACHHAM,1995,MAIZE,5000,7500.0,1500.0
ACHHAM,1995,MILLET,1750,2000.0,1143.0
ACHHAM,1995,PADDY,6700,13471.0,2011.0
ACHHAM,1995,WHEAT,7182,8400.0,1170.0
ACHHAM,1996,BARLEY,253,350.0,1383.0
ACHHAM,1996,MAIZE,5000,7500.0,1500.0
ACHHAM,1996,MILLET,1750,2000.0,1143.0
ACHHAM,1996,PADDY,6700,13500.0,2015.0
ACHHAM,1996,WHEAT,6954,9690.0,1393.0
ACHHAM,1997,BARLEY,154,280.0,1818.0
ACHHAM,1997,MAIZE,5200,7800.0,1500.0
ACHHAM,1997,MILLET,1750,2000.0,1143.0
ACHHAM,1997,PADDY,6750,14570.0,2159.0
ACHHAM,1997,WHEAT,7050,10460.0,1484.0
ACHHAM,1998,BARLEY,690,160.0,232.0
ACHHAM,1998,MAIZE,5150,8034.0,1560.0
ACHHAM,1998,MILLET,1784,2390.0,1340.0
ACHHAM,1998,PADDY,6800,16200.0,2382.0
ACHHAM,1998,WHEAT,6680,10520.0,1575.0
