ID,DISTRICT,YEAR,autumn_humidity,spring_humidity,summer_humidity,winter_humidity,autumn_rainfall,spring_rainfall,summer_rainfall,winter_rainfall,autumn_temperature,spring_temperature,summer_temperature,winter_temperature,autumn_wind_speed,spring_wind_speed,summer_wind_speed,winter_wind_speed
0.0,Arghakhanchi,1981.0,9.14,7.46,17.06,5.08,48.38,141.62,1225.79,72.05,19.27,25.07,26.41,14.58,1.94,2.77,2.73,2.2
1.0,Arghakhanchi,1982.0,8.49,7.1,16.04,4.76,15.06,88.13,811.7,87.85,20.18,24.77,27.25,14.51,2.07,3.15,2.57,2.31
2.0,Arghakhanchi,1983.0,9.56,5.68,15.39,3.7,120.55,64.9,527.49,18.71,20.36,25.35,28.32,14.25,2.02,3.35,2.82,2.41
3.0,Arghakhanchi,1984.0,7.93,5.29,17.0,3.82,27.6,21.18,918.14,35.67,19.98,27.16,26.27,14.45,2.01,3.42,2.67,2.48
4.0,Arghakhanchi,1985.0,10.56,4.74,15.76,4.41,102.29,32.98,724.84,44.86,18.93,27.17,27.26,14.68,1.88,3.58,2.79,2.34
5.0,Arghakhanchi,1986.0,6.98,5.07,15.3,4.42,25.21,30.82,604.41,47.94,20.41,25.76,27.06,14.88,2.12,3.28,2.74,2.42
6.0,Arghakhanchi,1987.0,8.76,5.15,15.41,4.05,109.14,37.03,721.38,28.39,19.81,25.93,27.91,15.65,1.79,3.35,2.5,2.21
7.0,Arghakhanchi,1988.0,8.86,5.58,17.44,4.36,13.66,65.56,1055.4,41.37,20.84,26.69,26.64,15.95,1.96,3.1,2.55,2.24
8.0,Arghakhanchi,1989.0,7.04,4.82,16.89,3.64,8.36,37.99,746.8,50.2,20.94,26.21,26.86,14.33,2.22,3.78,2.61,2.61
9.0,Arghakhanchi,1990.0,9.0,5.86,17.16,4.17,10.79,35.83,1077.18,39.44,20.64,26.0,26.54,15.91,1.96,3.15,2.58,2.42
10.0,Arghakhanchi,1991.0,7.17,4.28,16.59,3.99,3.48,34.74,608.97,41.05,20.16,27.17,27.56,15.63,2.2,3.33,2.78,2.45
11.0,Arghakhanchi,1992.0,8.52,4.55,15.36,3.91,87.51,19.55,645.37,3.92,20.56,26.72,27.4,14.67,2.11,4.19,2.74,2.33
