,DISTRICT_NAME,Value,Crop,Metric,Year
0,Achham,550,BARLEY,AREA,1919-7980
1,Arghakhanchi,290,BARLEY,AREA,1919-7980
2,Baglung,220,BARLEY,AREA,1919-7980
3,Baitadi,650,BARLEY,AREA,1919-7980
4,Bajhang,700,BARLEY,AREA,1919-7980
5,Bajura,400,BARLEY,AREA,1919-7980
6,Banke,270,BARLEY,AREA,1919-7980
7,Bara,1250,BARLEY,AREA,1919-7980
8,Bardiya,20,BARLEY,AREA,1919-7980
9,Bhaktapur,20,BARLEY,AREA,1919-7980
10,Bhojpur,50,BARLEY,AREA,1919-7980
11,Chitwan,150,BARLEY,AREA,1919-7980
12,Dadeldhura,300,BARLEY,AREA,1919-7980
13,Dailekh,810,BARLEY,AREA,1919-7980
14,Dang,450,BARLEY,AREA,1919-7980
15,Darchula,1800,BARLEY,AREA,1919-7980
16,Dhading,260,BARLEY,AREA,1919-7980
17,Dhankuta,60,BARLEY,AREA,1919-7980
18,Dhanusa,200,BARLEY,AREA,1919-7980
19,Dolakha,70,BARLEY,AREA,1919-7980
20,Dolpa,500,BARLEY,AREA,1919-7980
21,Doti,640,BARLEY,AREA,1919-7980
22,Gorkha,250,BARLEY,AREA,1919-7980
23,Gulmi,450,BARLEY,AREA,1919-7980
24,Humla,650,BARLEY,AREA,1919-7980
25,Ilam,50,BARLEY,AREA,1919-7980
26,Jajarkot,650,BARLEY,AREA,1919-7980
27,Jhapa,50,BARLEY,AREA,1919-7980
28,Jumla,1100,BARLEY,AREA,1919-7980
29,Kailali,30,BARLEY,AREA,1919-7980
30,Kalikot,700,BARLEY,AREA,1919-7980
31,Kanchanpur,150,BARLEY,AREA,1919-7980
32,Kapilbastu,220,BARLEY,AREA,1919-7980
33,Kaski,100,BARLEY,AREA,1919-7980
34,Kathmandu,40,BARLEY,AREA,1919-7980
35,Kavre,60,BARLEY,AREA,1919-7980
36,Khotang,100,BARLEY,AREA,1919-7980
37,Lalitpur,20,BARLEY,AREA,1919-7980
